year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2000,T_1464,Powiat m. Siedlce,108.0,326.0
2000,T_1406,Powiat grójecki,121.0,516.0
2000,T_1428,Powiat sochaczewski,107.0,442.0
2000,T_1438,Powiat żyrardowski,85.0,308.0
2001,T_1201,Powiat bocheński,73.0,473.0
2001,T_1206,Powiat krakowski,198.0,1002.0
2001,T_1208,Powiat miechowski,50.0,216.0
2001,T_1209,Powiat myślenicki,88.0,568.0
2001,T_1214,Powiat proszowicki,45.0,202.0
2001,T_1219,Powiat wielicki,98.0,420.0
2001,T_1261,Powiat m. Kraków,1181.0,2422.0
2001,T_1205,Powiat gorlicki,88.0,534.0
2001,T_1207,Powiat limanowski,71.0,699.0
2001,T_1210,Powiat nowosądecki,113.0,1078.0
2001,T_1262,Powiat m. Nowy Sącz,77.0,389.0
2001,T_1203,Powiat chrzanowski,169.0,506.0
2001,T_1212,Powiat olkuski,151.0,509.0
2001,T_1213,Powiat oświęcimski,182.0,632.0
2001,T_1218,Powiat wadowicki,154.0,704.0
2001,T_1202,Powiat brzeski,53.0,388.0
2001,T_1204,Powiat dąbrowski,34.0,241.0
2001,T_1216,Powiat tarnowski,118.0,814.0
2001,T_1263,Powiat m. Tarnów,151.0,432.0
2001,T_1211,Powiat nowotarski,167.0,785.0
2001,T_1215,Powiat suski,54.0,366.0
2001,T_1217,Powiat tatrzański,87.0,235.0
2001,T_2402,Powiat bielski,168.0,584.0
2001,T_2403,Powiat cieszyński,217.0,641.0
2001,T_2417,Powiat żywiecki,150.0,583.0
2001,T_2461,Powiat m. Bielsko-Biała,306.0,585.0
2001,T_2407,Powiat lubliniecki,116.0,300.0
2001,T_2413,Powiat tarnogórski,163.0,455.0
2001,T_2462,Powiat m. Bytom,324.0,536.0
2001,T_2471,Powiat m. Piekary Śląskie,92.0,183.0
2001,T_2404,Powiat częstochowski,147.0,571.0
2001,T_2406,Powiat kłobucki,72.0,378.0
2001,T_2409,Powiat myszkowski,115.0,299.0
2001,T_2464,Powiat m. Częstochowa,448.0,860.0
2001,T_2405,Powiat gliwicki,168.0,419.0
2001,T_2466,Powiat m. Gliwice,347.0,546.0
2001,T_2478,Powiat m. Zabrze,323.0,454.0
2001,T_2463,Powiat m. Chorzów,189.0,328.0
2001,T_2469,Powiat m. Katowice,573.0,865.0
2001,T_2470,Powiat m. Mysłowice,116.0,247.0
2001,T_2472,Powiat m. Ruda Śląska,240.0,480.0
2001,T_2474,Powiat m. Siemianowice Śląskie,111.0,229.0
