year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2003,I_14,Cordoba,732.0,3428.0
2003,I_15,A Coruna,1472.0,3273.0
2003,I_16,Cuenca,157.0,595.0
2003,I_17,Girona,1372.0,1346.0
2003,I_18,Granada,972.0,3491.0
2003,I_19,Guadalajara,278.0,728.0
2003,I_20,Gipuzkoa,1435.0,2064.0
2003,I_21,Huelva,549.0,2014.0
2003,I_22,Huesca,235.0,538.0
2003,I_23,Jaen,423.0,2745.0
2003,I_24,Leon,593.0,1178.0
2003,I_25,Lleida,679.0,1066.0
2003,I_26,La Rioja,476.0,990.0
2003,I_27,Lugo,346.0,844.0
2003,I_28,Madrid,10223.0,19512.0
2003,I_29,Malaga,2494.0,5047.0
2003,I_30,Murcia,1550.0,5266.0
2003,I_31,Navarra,998.0,1870.0
2003,I_32,Ourense,358.0,768.0
2003,I_33,Asturias,1877.0,3122.0
2003,I_34,Palencia,174.0,466.0
2003,I_35,Las Palmas,1626.0,2062.0
2003,I_36,Pontevedra,1287.0,2726.0
2003,I_37,Salamanca,363.0,1131.0
2003,I_38,Canarias,1365.0,1896.0
2003,I_39,Cantabria,909.0,1955.0
2003,I_40,Segovia,158.0,428.0
2003,I_41,Sevilla,2136.0,8023.0
2003,I_42,Soria,132.0,224.0
2003,I_43,Tarragona,1494.0,1950.0
2003,I_44,Teruel,168.0,416.0
2003,I_45,Toledo,638.0,2188.0
2003,I_46,Valencia,4994.0,8939.0
2003,I_47,Valladolid,637.0,1790.0
2003,I_48,Bizkaia,1835.0,3328.0
2003,I_49,Zamora,175.0,519.0
2003,I_50,Zaragoza,1251.0,3114.0
2003,I_51,Ceuta,183.0,162.0
2003,I_52,Melilla,327.0,120.0
2004,I_01,Alava,616.0,761.0
2004,I_02,Albacete,474.0,1285.0
2004,I_03,Alicante,3272.0,5265.0
2004,I_04,Almeria,909.0,2097.0
2004,I_05,Avila,148.0,455.0
2004,I_06,Badajoz,641.0,2517.0
2004,I_07,Illes Balears,2289.0,2266.0
2004,I_08,Barcelona,13399.0,11702.0
2004,I_09,Burgos,508.0,1088.0
2004,I_10,Caceres,426.0,1252.0
2004,I_11,Cadiz,1825.0,4954.0
2004,I_12,Castellon,1093.0,1721.0
2004,I_13,Ciudad Real,442.0,1867.0
2004,I_14,Cordoba,780.0,3277.0
2004,I_15,A Coruna,1705.0,3194.0
2004,I_16,Cuenca,155.0,556.0
2004,I_17,Girona,1680.0,1260.0
2004,I_18,Granada,1059.0,3524.0
2004,I_19,Guadalajara,371.0,684.0
2004,I_20,Gipuzkoa,1610.0,1901.0
2004,I_21,Huelva,587.0,1994.0
2004,I_22,Huesca,342.0,525.0
2004,I_23,Jaen,533.0,2654.0
2004,I_24,Leon,613.0,1147.0
2004,I_25,Lleida,785.0,972.0
2004,I_26,La Rioja,546.0,931.0
2004,I_27,Lugo,364.0,809.0
2004,I_28,Madrid,11750.0,18455.0
2004,I_29,Malaga,2793.0,4855.0
2004,I_30,Murcia,1692.0,4959.0
2004,I_31,Navarra,1129.0,1791.0
2004,I_32,Ourense,388.0,790.0
2004,I_33,Asturias,2082.0,2876.0
2004,I_34,Palencia,190.0,496.0
2004,I_35,Las Palmas,1609.0,1909.0
2004,I_36,Pontevedra,1382.0,2741.0
2004,I_37,Salamanca,440.0,1016.0
2004,I_38,Canarias,1616.0,1702.0
2004,I_39,Cantabria,1020.0,1882.0
2004,I_40,Segovia,193.0,451.0
2004,I_41,Sevilla,2531.0,8094.0
2004,I_42,Soria,115.0,205.0
2004,I_43,Tarragona,1810.0,1852.0
2004,I_44,Teruel,169.0,344.0
2004,I_45,Toledo,651.0,2397.0
2004,I_46,Valencia,5998.0,8456.0
2004,I_47,Valladolid,719.0,1866.0
2004,I_48,Bizkaia,2089.0,3066.0
2004,I_49,Zamora,158.0,465.0
2004,I_50,Zaragoza,1373.0,3133.0
2004,I_51,Ceuta,210.0,164.0
2004,I_52,Melilla,305.0,102.0
2005,I_01,Alava,568.0,709.0
2005,I_02,Albacete,496.0,1224.0
2005,I_03,Alicante,3051.0,4884.0
2005,I_04,Almeria,933.0,2040.0
2005,I_05,Avila,150.0,438.0
2005,I_06,Badajoz,627.0,2423.0
2005,I_07,Illes Balears,2304.0,1963.0
2005,I_08,Barcelona,13724.0,10409.0
2005,I_09,Burgos,479.0,951.0
2005,I_10,Caceres,391.0,1146.0
2005,I_11,Cadiz,1931.0,4797.0
2005,I_12,Castellon,1077.0,1631.0
2005,I_13,Ciudad Real,523.0,1807.0
2005,I_14,Cordoba,823.0,3156.0
2005,I_15,A Coruna,1728.0,2955.0
2005,I_16,Cuenca,179.0,559.0
2005,I_17,Girona,1691.0,1135.0
2005,I_18,Granada,1107.0,3174.0
2005,I_19,Guadalajara,400.0,742.0
2005,I_20,Gipuzkoa,1580.0,1720.0
2005,I_21,Huelva,640.0,2005.0
2005,I_22,Huesca,307.0,490.0
2005,I_23,Jaen,561.0,2637.0
2005,I_24,Leon,710.0,1017.0
2005,I_25,Lleida,844.0,882.0
2005,I_26,La Rioja,525.0,882.0
2005,I_27,Lugo,377.0,698.0
2005,I_28,Madrid,11930.0,16457.0
2005,I_29,Malaga,2679.0,4670.0
2005,I_30,Murcia,1810.0,4858.0
2005,I_31,Navarra,1115.0,1556.0
2005,I_32,Ourense,415.0,704.0
2005,I_33,Asturias,2165.0,2740.0
2005,I_34,Palencia,232.0,463.0
2005,I_35,Las Palmas,1690.0,1649.0
2005,I_36,Pontevedra,1517.0,2544.0
2005,I_37,Salamanca,401.0,1007.0
2005,I_38,Canarias,1748.0,1653.0
2005,I_39,Cantabria,1134.0,1742.0
2005,I_40,Segovia,208.0,396.0
2005,I_41,Sevilla,2547.0,8338.0
2005,I_42,Soria,118.0,172.0
2005,I_43,Tarragona,1775.0,1707.0
2005,I_44,Teruel,166.0,366.0
2005,I_45,Toledo,705.0,2358.0
2005,I_46,Valencia,5707.0,7684.0
2005,I_47,Valladolid,795.0,1704.0
2005,I_48,Bizkaia,2170.0,2809.0
2005,I_49,Zamora,188.0,409.0
2005,I_50,Zaragoza,1405.0,2942.0
2005,I_51,Ceuta,188.0,173.0
2005,I_52,Melilla,235.0,88.0
2006,I_01,Alava,632.0,631.0
2006,I_02,Albacete,511.0,1150.0
2006,I_03,Alicante,3294.0,4312.0
2006,I_04,Almeria,1143.0,1872.0
2006,I_05,Avila,186.0,408.0
2006,I_06,Badajoz,741.0,2342.0
2006,I_07,Illes Balears,2383.0,1877.0
2006,I_08,Barcelona,14097.0,8734.0
2006,I_09,Burgos,526.0,881.0
2006,I_10,Caceres,467.0,1121.0
2006,I_11,Cadiz,1919.0,4334.0
2006,I_12,Castellon,1142.0,1496.0
2006,I_13,Ciudad Real,513.0,1744.0
2006,I_14,Cordoba,941.0,3101.0
2006,I_15,A Coruna,1986.0,2790.0
2006,I_16,Cuenca,204.0,495.0
2006,I_17,Girona,1845.0,1008.0
2006,I_18,Granada,1192.0,2892.0
2006,I_19,Guadalajara,484.0,698.0
2006,I_20,Gipuzkoa,1603.0,1588.0
2006,I_21,Huelva,712.0,1827.0
2006,I_22,Huesca,363.0,456.0
2006,I_23,Jaen,621.0,2565.0
2006,I_24,Leon,700.0,923.0
2006,I_25,Lleida,969.0,809.0
2006,I_26,La Rioja,582.0,791.0
2006,I_27,Lugo,419.0,694.0
2006,I_28,Madrid,12872.0,14812.0
2006,I_29,Malaga,2985.0,4478.0
2006,I_30,Murcia,1882.0,4602.0
2006,I_31,Navarra,1281.0,1446.0
2006,I_32,Ourense,455.0,692.0
2006,I_33,Asturias,2275.0,2535.0
2006,I_34,Palencia,242.0,429.0
2006,I_35,Las Palmas,1855.0,1485.0
2006,I_36,Pontevedra,1646.0,2390.0
