,election_date,election_type,harmonised_code,harmonised_name,pc1
300,2001_05_13,camera,ITI14,firenze,-0.2016091029113162
301,2001_05_13,camera,ITI15,prato,-0.14233414297268318
302,2001_05_13,camera,ITI16,livorno,-0.21442221633008235
303,2001_05_13,camera,ITI17,pisa,-0.1634298986992807
304,2001_05_13,camera,ITI18,arezzo,-0.14100312322459388
305,2001_05_13,camera,ITI19,siena,-0.2697300229716279
306,2001_05_13,camera,ITI1A,grosseto,-0.12444171498441796
307,2001_05_13,camera,ITI21,perugia,-0.13013098346451143
308,2001_05_13,camera,ITI22,terni,-0.12424083988490142
309,2001_05_13,camera,ITI31,pesaro e urbino,-0.10005754398675948
310,2001_05_13,camera,ITI32,ancona,-0.10778283335781497
311,2001_05_13,camera,ITI33,macerata,-0.060097177107431766
312,2001_05_13,camera,ITI34,ascoli piceno,-0.03389869304528826
313,2001_05_13,camera,ITI35,fermo,-0.04132377404137411
314,2001_05_13,camera,ITI41,viterbo,-0.04458700807340837
315,2001_05_13,camera,ITI42,rieti,-0.04635352519776888
316,2001_05_13,camera,ITI43,roma,-0.05328083277897662
317,2001_05_13,camera,ITI44,latina,0.04940714485097145
318,2001_05_13,camera,ITI45,frosinone,0.011687913879272496
319,2004_06_12,european,ITC11,torino,-0.013172410771402125
320,2004_06_12,european,ITC12,vercelli,0.0921390922408703
321,2004_06_12,european,ITC13,biella,0.0710098108798075
322,2004_06_12,european,ITC14,verbanocusioossola,0.11929792328488102
323,2004_06_12,european,ITC15,novara,0.08187153822066441
324,2004_06_12,european,ITC16,cuneo,0.12785778097818393
325,2004_06_12,european,ITC17,asti,0.10146440934202128
326,2004_06_12,european,ITC18,alessandria,0.056015404114658794
327,2004_06_12,european,ITC20,valle daosta,0.14098036661805335
328,2004_06_12,european,ITC31,imperia,0.0979816743876167
329,2004_06_12,european,ITC32,savona,0.011732183689649405
330,2004_06_12,european,ITC33,genova,-0.09870109210868609
331,2004_06_12,european,ITC34,la spezia,-0.0965668915832509
332,2004_06_12,european,ITC41,varese,0.14812604345566513
333,2004_06_12,european,ITC42,como,0.159952579753067
334,2004_06_12,european,ITC43,lecco,0.137137180646024
335,2004_06_12,european,ITC44,sondrio,0.21411225730928835
336,2004_06_12,european,ITC46,bergamo,0.187593855991194
337,2004_06_12,european,ITC47,brescia,0.14816874419110118
338,2004_06_12,european,ITC48,pavia,0.08302483734486091
339,2004_06_12,european,ITC49,lodi,0.09058100053693911
340,2004_06_12,european,ITC4A,cremona,0.09868240580258249
341,2004_06_12,european,ITC4B,mantova,0.011894363486329492
342,2004_06_12,european,ITC4C,milano,0.05407427685348939
343,2004_06_12,european,ITC4D,monza e della brianza,0.11019793519628691
344,2004_06_12,european,ITF11,laquila,-0.007972939119862901
345,2004_06_12,european,ITF12,teramo,-0.023027144599460484
346,2004_06_12,european,ITF13,pescara,-0.02750426990123304
347,2004_06_12,european,ITF14,chieti,-0.033697615608024305
348,2004_06_12,european,ITF21,isernia,0.04951164183539598
349,2004_06_12,european,ITF22,campobasso,-0.011059884468997548
350,2004_06_12,european,ITF31,caserta,-0.01659990774377907
351,2004_06_12,european,ITF32,benevento,-0.014613302413191677
352,2004_06_12,european,ITF33,napoli,-0.052984982941863955
353,2004_06_12,european,ITF34,avellino,-0.04151581044202119
354,2004_06_12,european,ITF35,salerno,-0.02857440221359928
355,2004_06_12,european,ITF43,taranto,-0.004995195338660345
356,2004_06_12,european,ITF44,brindisi,-0.010138814772616874
357,2004_06_12,european,ITF45,lecce,-0.04345932821255333
358,2004_06_12,european,ITF46,foggia,-0.050836042645271654
359,2004_06_12,european,ITF47,bari,-0.015283396325547271
360,2004_06_12,european,ITF48,barlettaandriatrani,-0.0017547113836093233
361,2004_06_12,european,ITF51,potenza,-0.07469004621050043
362,2004_06_12,european,ITF52,matera,-0.06801523544972199
363,2004_06_12,european,ITF61,cosenza,-0.01646209815757629
364,2004_06_12,european,ITF62,crotone,-0.07150449852459326
365,2004_06_12,european,ITF63,catanzaro,-0.05829260498443945
366,2004_06_12,european,ITF64,vibo valentia,-0.04101262090106073
367,2004_06_12,european,ITF65,reggio calabria,-0.05967354877810214
368,2004_06_12,european,ITG11,trapani,-0.0002212104517125456
369,2004_06_12,european,ITG12,palermo,-0.0048522040489016975
370,2004_06_12,european,ITG13,messina,-0.0031569714803197616
371,2004_06_12,european,ITG14,agrigento,-0.001980038100476005
372,2004_06_12,european,ITG15,caltanissetta,0.006580549225339581
373,2004_06_12,european,ITG17,catania,-0.008653261534844291
374,2004_06_12,european,ITG18,ragusa,-0.06188140323364756
375,2004_06_12,european,ITG19,siracusa,-0.07164866595382308
376,2004_06_12,european,ITG2D,sassari,0.03475135632664667
377,2004_06_12,european,ITG2E,nuoro,-0.023929138392797356
378,2004_06_12,european,ITG2F,cagliari,0.04398803434357968
379,2004_06_12,european,ITG2G,oristano,0.043788888728380944
380,2004_06_12,european,ITG2H,sud sardegna,0.008796821588796057
381,2004_06_12,european,ITH10,bolzano,0.10199831875243251
382,2004_06_12,european,ITH20,trento,-0.01878795353781355
383,2004_06_12,european,ITH31,verona,0.12732218409765475
384,2004_06_12,european,ITH32,vicenza,0.1351182895383791
385,2004_06_12,european,ITH33,belluno,0.10439210948200446
386,2004_06_12,european,ITH34,treviso,0.16114596061777534
387,2004_06_12,european,ITH35,venezia,0.0358294640983138
388,2004_06_12,european,ITH36,padova,0.07657366767275449
389,2004_06_12,european,ITH37,rovigo,0.016073137454254094
390,2004_06_12,european,ITH41,pordenone,0.10891782179270401
391,2004_06_12,european,ITH42,udine,0.04863375678708324
392,2004_06_12,european,ITH43,gorizia,-0.05504199268648685
393,2004_06_12,european,ITH44,trieste,-0.033629156816360174
394,2004_06_12,european,ITH51,piacenza,0.058995183277825054
395,2004_06_12,european,ITH52,parma,-0.02457384710022779
396,2004_06_12,european,ITH53,reggio nellemilia,-0.15078236889264007
397,2004_06_12,european,ITH54,modena,-0.10506477277526687
398,2004_06_12,european,ITH56,ferrara,-0.08005469037423123
399,2004_06_12,european,ITH57,ravenna,-0.1551735175318604
400,2004_06_12,european,ITH58,forlicesena,-0.0833483398126063
401,2004_06_12,european,ITH59,rimini,-0.05033892952957393
402,2004_06_12,european,ITI11,massacarrara,-0.05781138142296539
403,2004_06_12,european,ITI12,lucca,-0.051924675143536936
404,2004_06_12,european,ITI13,pistoia,-0.0840066715758251
405,2004_06_12,european,ITI14,firenze,-0.1769584090390867
406,2004_06_12,european,ITI15,prato,-0.10772832034696354
407,2004_06_12,european,ITI16,livorno,-0.14676550569605543
408,2004_06_12,european,ITI17,pisa,-0.12341091956652336
409,2004_06_12,european,ITI18,arezzo,-0.07749947356915582
410,2004_06_12,european,ITI19,siena,-0.16687726215127704
411,2004_06_12,european,ITI1A,grosseto,-0.07713429075620647
412,2004_06_12,european,ITI21,perugia,-0.08273092751508485
413,2004_06_12,european,ITI22,terni,-0.07843886924448362
414,2004_06_12,european,ITI31,pesaro e urbino,-0.06899918094984644
415,2004_06_12,european,ITI32,ancona,-0.12359201300754155
416,2004_06_12,european,ITI33,macerata,-0.0380710012314922
417,2004_06_12,european,ITI34,ascoli piceno,-0.029778284878794203
418,2004_06_12,european,ITI35,fermo,-0.026264365980176455
419,2004_06_12,european,ITI41,viterbo,-0.028072083859268508
420,2004_06_12,european,ITI42,rieti,-0.027503427825068715
421,2004_06_12,european,ITI43,roma,-0.08391031653281608
422,2004_06_12,european,ITI44,latina,0.059955154892194634
423,2004_06_12,european,ITI45,frosinone,0.006436633310636314
424,2006_04_09,camera,ITC11,torino,-0.04168272461141467
425,2006_04_09,camera,ITC12,vercelli,0.0640881628709307
426,2006_04_09,camera,ITC13,biella,0.05428355919396528
427,2006_04_09,camera,ITC14,verbanocusioossola,0.08194198536405094
428,2006_04_09,camera,ITC15,novara,0.06891748638090489
429,2006_04_09,camera,ITC16,cuneo,0.08137225047361236
430,2006_04_09,camera,ITC17,asti,0.056363864116548174
431,2006_04_09,camera,ITC18,alessandria,0.030676491987704377
