,election_date,election_type,harmonised_code,harmonised_name,pc1
352,2000_10_08,president_a,T_3062,Konin,0.09444644691904719
353,2000_10_08,president_a,T_3063,Leszno,0.11598639714097347
354,2000_10_08,president_a,T_3064,Poznań,-0.02541470628827608
355,2000_10_08,president_a,T_3201,białogardzki,0.2126857841043468
356,2000_10_08,president_a,T_3202,choszczeński,0.177755889941405
357,2000_10_08,president_a,T_3203,drawski,0.15599968725824942
358,2000_10_08,president_a,T_3204,goleniowski,0.15592955144248233
359,2000_10_08,president_a,T_3205,gryficki,0.17382036873191953
360,2000_10_08,president_a,T_3206,gryfiński,0.12293552622490256
361,2000_10_08,president_a,T_3207,kamieński,0.15282307873362777
362,2000_10_08,president_a,T_3208,kołobrzeski,0.13289302961861316
363,2000_10_08,president_a,T_3209,koszaliński,0.16364935196625852
364,2000_10_08,president_a,T_3210,myśliborski,0.12255813908325963
365,2000_10_08,president_a,T_3211,policki,0.08470910826014749
366,2000_10_08,president_a,T_3212,pyrzycki,0.12398539037589373
367,2000_10_08,president_a,T_3213,sławieński,0.15020601170692838
368,2000_10_08,president_a,T_3214,stargardzki,0.12714861928243204
369,2000_10_08,president_a,T_3215,szczecinecki,0.11385277784504433
370,2000_10_08,president_a,T_3216,świdwiński,0.18300377091801423
371,2000_10_08,president_a,T_3217,wałecki,0.16653530767534364
372,2000_10_08,president_a,T_3261,Koszalin,0.09518710549044901
373,2000_10_08,president_a,T_3262,Szczecin,0.004082326241876655
374,2000_10_08,president_a,T_3263,Świnoujście,0.1048685184344289
375,2000_10_08,president_a,T_3299,ships,0.07046677904510668
376,2001_09_23,sejm,T_0201,bolesławiecki,0.0847111614362199
377,2001_09_23,sejm,T_0202,dzierżoniowski,0.1659772476521151
378,2001_09_23,sejm,T_0203,głogowski,0.1476362480880474
379,2001_09_23,sejm,T_0204,górowski,0.02637024656454709
380,2001_09_23,sejm,T_0205,jaworski,0.052407281379182186
381,2001_09_23,sejm,T_0206,karkonoski,0.1504066873686877
382,2001_09_23,sejm,T_0207,kamiennogórski,0.18426948648336552
383,2001_09_23,sejm,T_0208,kłodzki,0.08280327618346564
384,2001_09_23,sejm,T_0209,legnicki,0.043745914234654265
385,2001_09_23,sejm,T_0210,lubański,0.19351640068889933
386,2001_09_23,sejm,T_0211,lubiński,0.1515437826784495
387,2001_09_23,sejm,T_0212,lwówecki,0.15790200021901843
388,2001_09_23,sejm,T_0213,milicki,0.026745388002135467
389,2001_09_23,sejm,T_0214,oleśnicki,0.07220369802444163
390,2001_09_23,sejm,T_0215,oławski,0.02060448702054088
391,2001_09_23,sejm,T_0216,polkowicki,0.12202464588700415
392,2001_09_23,sejm,T_0217,strzeliński,0.008866799801649311
393,2001_09_23,sejm,T_0218,średzki,0.03878360655458826
394,2001_09_23,sejm,T_0219,świdnicki,0.09717300095178491
395,2001_09_23,sejm,T_0220,trzebnicki,-0.011754616683135988
396,2001_09_23,sejm,T_0221,wałbrzyski,0.13985349685982554
397,2001_09_23,sejm,T_0222,wołowski,0.07179582079552241
398,2001_09_23,sejm,T_0223,wrocławski,-0.07198592081636243
399,2001_09_23,sejm,T_0224,ząbkowicki,0.09046472133507474
400,2001_09_23,sejm,T_0225,zgorzelecki,0.1613309889022714
401,2001_09_23,sejm,T_0226,złotoryjski,0.08932241266067822
402,2001_09_23,sejm,T_0261,Jelenia Góra,0.17474815267013302
403,2001_09_23,sejm,T_0262,Legnica,0.16602135828185885
404,2001_09_23,sejm,T_0264,Wrocław,0.057314735182011106
405,2001_09_23,sejm,T_0265,Wałbrzych,0.22554174743664948
406,2001_09_23,sejm,T_0401,aleksandrowski,0.043885870259312926
407,2001_09_23,sejm,T_0402,brodnicki,-0.04229944282484341
408,2001_09_23,sejm,T_0403,bydgoski,0.07352909716979752
409,2001_09_23,sejm,T_0404,chełmiński,0.027037413118670056
410,2001_09_23,sejm,T_0405,golubsko-dobrzyński,-0.0194661418494132
411,2001_09_23,sejm,T_0406,grudziądzki,-0.0565122649391539
412,2001_09_23,sejm,T_0407,inowrocławski,0.1409608049856673
413,2001_09_23,sejm,T_0408,lipnowski,-0.00456006002822637
